station_lines,GTFS Stop ID
OCEAN PKWY - Q,D41
OZONE PK LEFFRT - A,A65
PARK PLACE - 23ACE,228
PARK PLACE - S,S03
PARKCHESTER - 6,608
PARKSIDE AV - BQ,D27
PARSONS BLVD - F,F03
PELHAM BAY PARK - 6,601
PELHAM PKWY - 25,211
PELHAM PKWY - 5,504
PENNSYLVANIA AV - 3,255
PRESIDENT ST - 25,241
PRINCE ST - NRW,R22
PROSPECT AV - 25,219
PROSPECT AV - R,R34
PROSPECT PARK - BQS,D26
QUEENS PLAZA - EMR,G21
QUEENSBORO PLZ - 7NQW,718
RALPH AV - C,A49
RECTOR ST - 1,139
RECTOR ST - NRW,R26
ROCKAWAY AV - 3,253
ROCKAWAY AV - C,A50
ROCKAWAY BLVD - A,A61
ROCKAWAY PARK B - AS,H15
ROOSEVELT ISLND - F,B06
SARATOGA AV - 3,252
SENECA AVE - M,M06
SHEEPSHEAD BAY - BQ,D39
SHEPHERD AV - C,A54
SIMPSON ST - 25,217
SMITH-9 ST - FG,F22
SOUTH FERRY - 1RW,142
SPRING ST - 6,638
SPRING ST - CE,A33
ST LAWRENCE AV - 6,609
ST. GEORGE - 1,S31
STEINWAY ST - MR,G19
STERLING ST - 25,242
SUTPHIN BLVD - F,F04
SUTPHIN-ARCHER - EJZ,G06
SUTTER AV - L,L25
SUTTER AV-RUTLD - 3,251
TIMES SQ-42 ST - 1237ACENQRS,127
TIMES SQ-42 ST - 1237ACENQRSW,R16
TOMPKINSVILLE - 1,S30
TREMONT AV - BD,D07
UNION ST - R,R32
UTICA AV - AC,A48
V.CORTLANDT PK - 1,101
VAN SICLEN AV - 3,256
VAN SICLEN AV - JZ,J23
VAN SICLEN AVE - C,A53
VERNON-JACKSON - 7,721
W 4 ST-WASH SQ - ABCDEFM,A32
W 8 ST-AQUARIUM - FQ,D42
WAKEFIELD/241 - 2,201
WALL ST - 23,230
WALL ST - 45,419
WEST FARMS SQ - 25,214
WESTCHESTER SQ - 6,604
WHITEHALL S-FRY - 1RW,R27
WHITLOCK AV - 6,612
WILSON AV - L,L20
WINTHROP ST - 25,243
WOODHAVEN BLVD - JZ,J15
WOODHAVEN BLVD - MR,G11
WOODLAWN - 4,401
WORLD TRADE CTR - 23ACE,E01
WTC-CORTLANDT - 1,138
YORK ST - F,F18
ZEREGA AV - 6,606
